OTU	KW_Statistic	DF	P_value	Test	Taxonomy	p.value.fdr	p.value.hochberg	p.value.bonferonni
Zotu329	10.4170295996871	5	0.0642452996804726	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,s:uncultured_bacterium	0.33856704389134	0.33856704389134	1
Zotu33	3.10874152820094	5	0.683225438917182	Kruskal-Wallis rank sum test	k:Bacteria,p:Deferribacteres,c:Deferribacteres,o:Deferribacterales,f:Deferribacteraceae,g:Mucispirillum	0.793066161304668	0.793066161304668	1
Zotu330	1.98757435558502	5	0.850861677829208	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.899180353411346	0.899180353411346	1
Zotu331	7.36793260355371	5	0.194682890112305	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptococcaceae,g:uncultured	0.532948927332462	0.532948927332462	1
Zotu332	4.48297770275632	5	0.482164188792569	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae_1	0.705180980454791	0.705180980454791	1
Zotu333	3.96788207104911	5	0.554049379298235	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.740456289432918	0.740456289432918	1
Zotu334	14.6219900723486	5	0.0121057295676956	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.217468403016493	0.217468403016493	1
Zotu335	4.23083816228901	5	0.516682040225857	Kruskal-Wallis rank sum test	k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:uncultured	0.728742529815506	0.728742529815506	1
Zotu336	7.54737191849585	5	0.183008416242845	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.523949576310645	0.523949576310645	1
Zotu337	12.7937056401707	5	0.0253906023425941	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.251639358919784	0.251639358919784	1
Zotu338	5.26549383855162	5	0.384345494844945	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Family_XII,g:Exiguobacterium	0.700595107702593	0.700595107702593	1
Zotu339	9.29702891297094	5	0.0977872414470145	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Erysipelatoclostridium,s:uncultured_bacterium	0.402674537187101	0.402674537187101	1
Zotu34	13.4512170615499	5	0.0194980488558382	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,s:uncultured_bacterium	0.241005139949677	0.241005139949677	1
Zotu340	11.3468619729687	5	0.0449203088792902	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:uncultured	0.295239344571068	0.295239344571068	1
Zotu341	2.04902200855854	5	0.842321181629279	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.898928787921569	0.898928787921569	1
Zotu342	4.59186505974681	5	0.467687076988941	Kruskal-Wallis rank sum test	k:Bacteria,p:Cyanobacteria,c:Melainabacteria,o:Gastranaerophilales	0.705180980454791	0.705180980454791	1
