Sex	Diet_group	KO	mean	sd	n	se
F	VKdef	K02552	142.487777777778	141.444955705195	9	15.7161061894661
F	VKdef	K03183	24731.0655555556	23041.6754598966	9	2560.18616221074
F	VKdef	K08680	142.487777777778	141.444955705195	9	15.7161061894661
F	VKdef	K19222	37.45	45.1167463365877	9	5.01297181517641
M	Combo	K01661	11885.714	10874.5388963305	10	1087.45388963305
M	Combo	K01851	0	0	10	0
M	Combo	K01911	8856.064	8035.90157713938	10	803.590157713938
M	Combo	K02361	11754.507	10786.6802531003	10	1078.66802531003
M	Combo	K02548	18869.014	16470.3369055343	10	1647.03369055343
M	Combo	K02549	99.864	82.3383421148508	10	8.23383421148509
M	Combo	K02551	11838.214	10840.6069005498	10	1084.06069005498
M	Combo	K02552	98.864	82.7960702502775	10	8.27960702502775
M	Combo	K03183	22953.579	19962.8216991606	10	1996.28216991606
M	Combo	K08680	98.864	82.7960702502775	10	8.27960702502775
M	Combo	K19222	69.807	53.8760167318343	10	5.38760167318343
M	MK4	K01661	8845.953	4816.21800474201	10	481.621800474201
M	MK4	K01851	0	0	10	0
M	MK4	K01911	6651.989	3321.0799761873	10	332.10799761873
M	MK4	K02361	8276.365	4426.13581273088	10	442.613581273088
M	MK4	K02548	17237.653	13628.968520116	10	1362.8968520116
M	MK4	K02549	285.928	530.577251214813	10	53.0577251214813
M	MK4	K02551	8557.953	4388.7705616191	10	438.87705616191
M	MK4	K02552	285.428	530.029277551931	10	53.0029277551931
M	MK4	K03183	19142.248	12790.3009081116	10	1279.03009081116
M	MK4	K08680	285.428	530.029277551931	10	53.0029277551931
M	MK4	K19222	54.19	38.1939908013464	10	3.81939908013464
M	MK9	K01661	6504.69	4483.16753687892	9	498.12972631988
M	MK9	K01851	0	0	9	0
M	MK9	K01911	4923.57888888889	3765.04675383801	9	418.338528204223
M	MK9	K02361	6421.01	4416.92382886552	9	490.769314318391
M	MK9	K02548	11508.6344444444	6851.57622751895	9	761.286247502105
M	MK9	K02549	66.1344444444444	66.5521478073982	9	7.39468308971091
M	MK9	K02551	6475.13444444444	4466.52160903793	9	496.280178781992
M	MK9	K02552	66.1344444444444	66.5521478073982	9	7.39468308971091
M	MK9	K03183	14184.04	8986.98629618684	9	998.554032909649
M	MK9	K08680	66.1344444444444	66.5521478073982	9	7.39468308971091
M	MK9	K19222	52.5655555555556	61.4191564398094	9	6.82435071553438
M	PK	K01661	4052.539	2362.60812741837	10	236.260812741837
M	PK	K01851	52.7	166.652032690874	10	16.6652032690874
M	PK	K01911	2921.939	1545.29975487282	10	154.529975487282
M	PK	K02361	3877.595	2422.39517552933	10	242.239517552933
M	PK	K02548	7253.739	4301.06164643219	10	430.106164643219
M	PK	K02549	243.114	395.562690134783	10	39.5562690134783
M	PK	K02551	4028.639	2345.42243709102	10	234.542243709102
M	PK	K02552	238.964	383.621592116213	10	38.3621592116213
M	PK	K03183	8478.194	5137.83965360107	10	513.783965360107
M	PK	K08680	238.964	383.621592116213	10	38.3621592116213
M	PK	K19222	106.32	264.482216709471	10	26.4482216709471
M	Pork	K01661	13830.563	10523.8875516386	10	1052.38875516386
M	Pork	K01851	0	0	10	0
M	Pork	K01911	11078.513	8318.4231649715	10	831.84231649715
M	Pork	K02361	13622.72	10413.6310436701	10	1041.36310436701
M	Pork	K02548	21206.813	15932.9028054659	10	1593.29028054659
M	Pork	K02549	106.638	82.2619849829393	10	8.22619849829393
M	Pork	K02551	13699.063	10440.1207816864	10	1044.01207816864
M	Pork	K02552	106.188	81.7527264648981	10	8.17527264648981
M	Pork	K03183	24207.788	19041.6171410547	10	1904.16171410547
M	Pork	K08680	106.188	81.7527264648981	10	8.17527264648981
M	Pork	K19222	76.295	70.3900477892847	10	7.03900477892847
M	VKdef	K01661	10511.58375	7390.03353022924	8	923.754191278656
M	VKdef	K01851	0	0	8	0
M	VKdef	K01911	8485.20875	6441.28419064849	8	805.160523831062
M	VKdef	K02361	10132.205	7041.86252246825	8	880.232815308531
M	VKdef	K02548	22962.14625	15165.44523759	8	1895.68065469875
M	VKdef	K02549	311.115	714.202981171519	8	89.2753726464399
M	VKdef	K02551	10430.27125	7318.6559103908	8	914.83198879885
M	VKdef	K02552	310.6775	713.585375005282	8	89.1981718756602
M	VKdef	K03183	26812.165	18047.5971907509	8	2255.94964884386
M	VKdef	K08680	310.6775	713.585375005282	8	89.1981718756602
M	VKdef	K19222	67.36125	69.6982548331428	8	8.71228185414285
