pathway	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M10	M110	M111	M113	M114	M116	M117	M11	M12	M13	M14	M15	M16	M17	M18	M19	M1	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M2	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M3	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M4	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M5	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M6	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M7	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M8	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M9
PWY-5705	543.1226	553.8281	1955.0587	1159.6326	557.293	5980.1298	3364.7985	4177.9437	1804.3504	3336.2479	1921.1005	6115.7585	2475.5162	609.7695	2167.3801	2410.7277	2830.2695	1947.4024	2208.9674	267.0375	1191.4882	3299.0882	5838.9929	1874.4585	1308.1362	507.6725	1717.6252	2830.0382	9.8908	2781.9189	1877.4387	894.5785	686.2869	736.3365	526.8538	1926.7421	808.1727	1386.5464	4.8696	460.1306	1229.0624	1134.9994	565.7972	954.7708	631.2658	2263.8712	3088.5291	2503.0241	1770.1127	1509.6435	436.5207	553.7587	1399.0263	784.0295	1941.6411	1078.5395	1044.725	1123.5781	935.2886	1213.7466	423.5868	2337.0244	1842.5249	4004.1335	586.5923	5856.9369	3379.2085	1491.0837	2313.7259	1774.8431	479.3024	210.0147	1520.5485	1340.7473	1535.2946	3946.1959	1586.4559	1625.3189	1097.8983	829.682	1158.1363	1154.5513	6162.4027	3737.2615	2752.5276	5688.3078	1357.5272	874.3172	2070.3165	601.3462	3222.7685	1786.9998	382.4764	3135.8549	4045.298	4510.7151	5220.4029	6141.9632	5208.642	6518.4544	1570.4614	7822.3683	2623.3206	10280.3011	2785.0791	3398.049	3378.9938	1338.505	758.394	7394.5035	1091.9712	811.1806	610.0264	1385.6743	1266.9836
PWY-5741	12.593	14.3776	352.8074	23.4236	37.4553	0.0	3.7331	46.9772	14.7127	0.0	139.0219	28.674	0.0	0.0	8.2736	67.6291	3.636	49.7461	53.9016	6.3976	105.3852	450.5067	100.6178	30.7586	25.8756	69.5053	27.1716	34.0703	0.0	32.1167	32.0447	56.2819	3.9796	13.3219	14.5943	248.2436	15.7442	130.8381	0.0	10.9639	59.4905	27.1686	32.5919	0.0	15.28	40.757	57.8853	3.1996	108.4464	5.2167	10.6516	11.0721	43.023	13.072	9.0508	7.7846	68.1988	124.4044	61.5792	31.9022	11.7566	11.0707	1.9724	7.9773	56.7936	252.8587	11.9748	5.9061	107.9424	13.9863	153.3727	260.2053	22.3637	169.1936	40.3283	102.2328	3.555	79.1911	35.4552	43.0544	58.78	45.1937	14.5375	47.4365	48.172	82.6927	65.3594	49.5255	298.5643	0.0	29.5633	217.5244	38.9151	81.8866	602.7764	723.368	118.7542	33.5746	6.6662	147.7999	68.3885	47.2722	247.6748	43.3923	30.8462	24.0318	97.5411	100.1464	36.1811	6.6656	1.9921	73.3445	37.2819	13.5305	1.7776
PWY-5747	10.3253	15.7425	285.9649	50.1786	33.9367	5.7821	75.3992	52.5135	15.467	58.6347	116.4764	29.2228	7.8354	10.3526	226.9971	57.5525	9.3504	54.0971	47.5048	46.7057	1.9795	309.3904	84.8729	28.6939	285.5363	48.7326	31.2909	166.6267	545.7845	25.6863	29.7364	46.0707	11.3869	14.65	11.7538	128.6947	14.6006	40.3876	3.7893	11.5899	51.3503	30.8693	31.8727	0.0	13.4923	1132.6372	49.3876	121.4313	92.0087	194.7663	8.9783	11.3034	30.465	13.107	8.5034	7.3397	71.5753	100.2445	63.3834	25.1165	11.3126	11.6643	42.2778	57.3481	57.8915	326.3566	11.8671	5.7165	83.5868	12.8645	32.8533	1159.4057	20.7538	175.2391	34.7633	116.1633	3.8952	67.3955	30.5031	34.332	48.6294	23.9377	447.3524	72.84	43.4507	91.1546	66.5767	48.1006	249.648	7.9123	28.662	194.1417	30.3272	70.4122	484.1439	566.8524	100.5543	38.5823	460.7975	146.0769	67.2212	240.9154	116.2324	35.4063	269.6989	215.8501	86.6407	89.2774	36.5172	397.4664	1.9794	59.4287	111.1563	130.0762	5.8257
PWY-5837	15.2534	59.1584	586.2961	941.9195	88.5262	765.132	1386.8845	479.1352	291.2752	115.3106	183.106	140.5324	2973.1566	64.0651	145.2571	188.6117	79.3922	100.5656	142.0446	132.6269	76.0067	31.7951	82.2174	146.077	543.8167	792.396	24.8644	211.4011	0.4586	45.7955	218.8227	188.7739	184.3808	187.4571	144.5004	96.2059	39.7457	134.659	0.6863	87.5313	212.4122	374.4634	332.9275	83.9549	657.1869	1154.2818	171.1061	296.4843	19.4775	1051.9886	16.6602	105.5565	51.4427	130.8169	225.2249	402.3347	660.8161	481.7112	827.6457	34.7911	2257.8841	620.4936	90.4602	406.6459	256.8773	2179.9521	1690.74	254.4354	98.0076	72.3433	30.5794	1804.1892	36.051	195.2653	43.8819	1250.0377	188.2349	104.2757	180.2822	45.0558	734.736	59.9652	2505.2324	502.2373	38.2148	159.2209	70.7046	274.3799	129.7029	74.3488	434.3976	570.7853	97.9614	557.2428	423.8422	235.3724	497.8416	129.3062	2907.5855	219.0706	4176.1328	778.1755	196.9324	122.6695	609.4615	293.9026	171.5577	291.8139	117.5058	841.0551	154.4755	893.9897	80.809	766.0874	36.0214
PWY-5838	51.653	196.5595	1873.9623	2674.5922	295.5138	2109.279	3852.964	1570.2927	931.9659	386.6952	609.9069	470.4008	6573.6983	215.0652	484.5614	631.9251	267.7712	341.4002	472.9464	438.4685	255.4992	108.4246	280.134	473.2954	1723.793	2219.8241	84.7162	705.9189	1.5702	155.7517	725.1442	634.2653	574.7167	612.8167	465.713	324.9309	134.073	446.0338	2.2892	287.7167	695.6741	1142.4809	1050.4595	279.3318	1431.9605	3448.6215	565.5007	970.7903	66.5694	3085.5512	56.3356	350.6969	172.8367	419.7788	745.1637	1030.9057	2024.491	1549.4433	2232.8132	118.2315	5102.9994	1944.6044	302.6797	1340.3772	796.9387	6695.086	5483.2397	813.9493	330.6852	242.9757	103.7124	3387.6378	122.4018	639.4947	148.5352	4032.1258	619.5347	347.3815	597.7649	152.1972	2223.7703	202.6555	6612.0007	1688.2597	130.0044	540.204	239.1447	916.6364	440.8188	251.4424	1449.628	1896.6934	329.9193	1872.718	1420.6945	799.2102	1669.8029	434.4679	9085.5395	738.7545	11373.7087	2585.7732	654.3669	417.805	1945.438	969.902	574.5551	945.534	387.8191	2603.597	521.9498	2579.9044	271.2602	2208.2441	122.3463
PWY-5840	51.6778	196.7711	1878.6004	2697.7513	295.8685	2177.0195	3898.2696	1573.0716	935.0933	387.1491	610.5559	470.9776	6690.2634	215.2741	485.081	632.4079	267.962	341.4614	473.5248	438.9232	255.6518	108.4405	280.1928	474.4755	1727.9555	2231.5496	84.7411	706.6354	1.5702	155.7963	726.2766	634.0406	578.28	614.3318	466.8087	325.1501	134.1433	446.3989	2.2914	288.3486	697.1146	1149.5175	1053.4932	279.7174	1457.7123	3460.945	566.465	972.5321	66.5753	3105.6026	56.3707	351.1335	172.9966	421.1542	746.1847	1044.7278	2037.8799	1551.876	2259.767	118.2644	5173.0427	1949.069	303.2562	1342.2656	797.981	6709.3682	5487.9972	817.0143	330.8472	243.1725	103.7353	3417.0065	122.4471	640.5809	148.5869	4039.2581	620.81	347.7652	598.6423	152.2873	2232.0459	202.7836	6692.6925	1689.6452	130.0403	540.3574	239.2128	917.1944	440.912	251.5596	1451.0004	1898.925	330.0902	1873.4252	1421.1767	799.3478	1670.7334	435.0109	9112.7544	739.2809	11478.2622	2588.5017	655.2985	417.9178	1953.4561	971.4938	575.0848	947.8896	388.5769	2620.4165	522.0872	2604.6732	271.4797	2222.4871	122.3951
PWY-5845	37.173	129.4541	1096.5279	432.321	125.5632	1468.6218	1018.6755	1168.0542	658.984	204.7752	339.5308	266.492	456.5637	154.9744	249.0652	397.6262	189.5137	167.8767	145.4124	74.2921	186.2164	68.7426	195.8198	285.347	631.7229	142.728	45.0467	433.2588	0.0	57.2474	506.9887	276.6337	317.9878	227.2001	305.6131	212.5055	54.983	74.4505	1.5512	96.8626	373.9461	399.4298	730.9392	90.4681	82.8888	369.5143	333.552	556.9919	46.1738	986.945	41.9239	226.0322	128.5145	220.2391	406.9408	75.517	1251.1052	142.3549	1579.3124	70.8904	985.9048	1469.8585	185.5633	607.9955	355.9457	3378.7779	3396.9453	505.9533	247.1643	174.7689	50.0549	2845.9859	80.5517	437.1517	99.8212	898.3766	449.3543	253.7236	395.3321	101.4439	268.4162	137.3263	1364.6772	972.9157	92.7032	368.2557	173.3109	620.3643	234.4887	155.4161	1028.175	433.0672	166.3341	1204.2354	777.8228	569.8639	950.1905	313.6789	2519.1179	510.1508	1988.9089	904.5134	446.4339	302.7331	1206.9892	407.6164	347.6055	357.7488	179.3382	778.5198	381.9822	176.6695	177.4762	731.2997	81.6597
PWY-5850	37.173	129.4541	1096.5279	432.321	125.5632	1468.6218	1018.6755	1168.0542	658.984	204.7752	339.5308	266.492	456.5637	154.9744	249.0652	397.6262	189.5137	167.8767	145.4124	74.2921	186.2164	68.7426	195.8198	285.347	631.7229	142.728	45.0467	433.2588	0.0	57.2474	506.9887	276.6337	317.9878	227.2001	305.6131	212.5055	54.983	74.4505	1.5512	96.8626	373.9461	399.4298	730.9392	90.4681	82.8888	369.5143	333.552	556.9919	46.1738	986.945	41.9239	226.0322	128.5145	220.2391	406.9408	75.517	1251.1052	142.3549	1579.3124	70.8904	985.9048	1469.8585	185.5633	607.9955	355.9457	3378.7779	3396.9453	505.9533	247.1643	174.7689	50.0549	2845.9859	80.5517	437.1517	99.8212	898.3766	449.3543	253.7236	395.3321	101.4439	268.4162	137.3263	1364.6772	972.9157	92.7032	368.2557	173.3109	620.3643	234.4887	155.4161	1028.175	433.0672	166.3341	1204.2354	777.8228	569.8639	950.1905	313.6789	2519.1179	510.1508	1988.9089	904.5134	446.4339	302.7331	1206.9892	407.6164	347.6055	357.7488	179.3382	778.5198	381.9822	176.6695	177.4762	731.2997	81.6597
PWY-5855	335.4929	274.3131	2945.1094	2082.3607	1010.7619	537.2125	2720.6897	4530.0648	3683.1377	2178.9836	1775.2274	1529.176	1647.5871	606.3223	1476.173	2991.7582	1272.3001	2160.3024	1361.6597	1312.0856	709.8954	2139.6525	3380.5968	1029.5123	3118.1294	1226.6552	1866.7129	1471.5975	733.0904	2054.2682	2449.5529	1668.9534	746.7735	1188.8921	715.07	1867.5423	617.4186	1235.3656	49.6943	638.2617	1557.1015	1291.3264	950.322	931.2181	302.1648	5299.9273	1681.5467	2319.9658	1893.6987	1829.3688	282.7858	1456.5883	346.9606	437.8652	1381.3371	377.8096	1581.7509	1783.8361	1313.0595	1365.1712	1211.0259	1748.4466	1106.6429	3157.2177	2275.8914	7875.2458	11157.4297	536.2414	2828.57	1288.778	961.4756	3722.2968	1321.3192	2982.1116	1235.759	4653.0193	1809.8476	1233.9147	1393.268	710.7031	2753.5381	1479.5321	4307.0979	6256.4724	1949.8966	3329.6865	1547.9674	2787.7608	8944.8314	1881.8593	6320.2394	4024.5798	888.9189	8933.0194	8127.0574	6367.7417	4389.1578	2561.3217	4806.8175	3807.02	3611.8852	7297.7199	1953.5674	4968.8651	2381.7253	3067.6103	1861.6701	2182.5966	626.5263	2132.0574	2618.9375	1375.4015	1009.7744	2671.7278	697.7999
PWY-5856	335.4929	274.3131	2945.1094	2082.3607	1010.7619	537.2125	2720.6897	4530.0648	3683.1377	2178.9836	1775.2274	1529.176	1647.5871	606.3223	1476.173	2991.7582	1272.3001	2160.3024	1361.6597	1312.0856	709.8954	2139.6525	3380.5968	1029.5123	3118.1294	1226.6552	1866.7129	1471.5975	733.0904	2054.2682	2449.5529	1668.9534	746.7735	1188.8921	715.07	1867.5423	617.4186	1235.3656	49.6943	638.2617	1557.1015	1291.3264	950.322	931.2181	302.1648	5299.9273	1681.5467	2319.9658	1893.6987	1829.3688	282.7858	1456.5883	346.9606	437.8652	1381.3371	377.8096	1581.7509	1783.8361	1313.0595	1365.1712	1211.0259	1748.4466	1106.6429	3157.2177	2275.8914	7875.2458	11157.4297	536.2414	2828.57	1288.778	961.4756	3722.2968	1321.3192	2982.1116	1235.759	4653.0193	1809.8476	1233.9147	1393.268	710.7031	2753.5381	1479.5321	4307.0979	6256.4724	1949.8966	3329.6865	1547.9674	2787.7608	8944.8314	1881.8593	6320.2394	4024.5798	888.9189	8933.0194	8127.0574	6367.7417	4389.1578	2561.3217	4806.8175	3807.02	3611.8852	7297.7199	1953.5674	4968.8651	2381.7253	3067.6103	1861.6701	2182.5966	626.5263	2132.0574	2618.9375	1375.4015	1009.7744	2671.7278	697.7999
PWY-5857	335.4929	274.3131	2945.1094	2082.3607	1010.7619	537.2125	2720.6897	4530.0648	3683.1377	2178.9836	1775.2274	1529.176	1647.5871	606.3223	1476.173	2991.7582	1272.3001	2160.3024	1361.6597	1312.0856	709.8954	2139.6525	3380.5968	1029.5123	3118.1294	1226.6552	1866.7129	1471.5975	733.0904	2054.2682	2449.5529	1668.9534	746.7735	1188.8921	715.07	1867.5423	617.4186	1235.3656	49.6943	638.2617	1557.1015	1291.3264	950.322	931.2181	302.1648	5299.9273	1681.5467	2319.9658	1893.6987	1829.3688	282.7858	1456.5883	346.9606	437.8652	1381.3371	377.8096	1581.7509	1783.8361	1313.0595	1365.1712	1211.0259	1748.4466	1106.6429	3157.2177	2275.8914	7875.2458	11157.4297	536.2414	2828.57	1288.778	961.4756	3722.2968	1321.3192	2982.1116	1235.759	4653.0193	1809.8476	1233.9147	1393.268	710.7031	2753.5381	1479.5321	4307.0979	6256.4724	1949.8966	3329.6865	1547.9674	2787.7608	8944.8314	1881.8593	6320.2394	4024.5798	888.9189	8933.0194	8127.0574	6367.7417	4389.1578	2561.3217	4806.8175	3807.02	3611.8852	7297.7199	1953.5674	4968.8651	2381.7253	3067.6103	1861.6701	2182.5966	626.5263	2132.0574	2618.9375	1375.4015	1009.7744	2671.7278	697.7999
PWY-5860	24.8773	87.0712	744.6313	291.7359	84.1019	1043.7913	693.1729	789.6796	448.0383	137.1917	227.8716	178.6051	307.7121	103.9667	166.9677	266.6956	126.9227	112.1567	97.3237	49.6591	124.9304	45.8942	130.7915	193.003	426.3014	95.6259	30.0741	290.9266	0.0	38.2141	341.3601	185.1269	217.0911	152.5744	207.3292	142.277	36.7612	49.7557	1.0401	65.0029	251.882	271.0841	499.3081	60.5642	55.7791	247.9335	224.3839	375.5949	30.8104	671.8999	28.0739	152.0137	86.2388	148.9263	273.6659	50.7608	859.0045	95.1652	1137.0058	47.3676	677.1924	1007.1048	124.8159	408.7511	241.7658	2305.9865	2298.9112	343.4934	165.6359	117.268	33.4431	2278.9483	53.8521	295.8542	66.7949	602.7176	303.5074	170.7662	266.0571	67.9172	180.092	91.9337	929.3231	652.488	61.9528	246.2648	116.0122	416.4471	156.6376	103.9679	691.1278	289.5782	111.3251	807.1754	521.2838	381.0228	636.7819	210.6612	1697.1286	341.683	1346.9415	605.7157	300.1756	202.2293	822.4292	273.6828	233.1565	240.6991	120.437	525.4976	255.8418	118.3282	119.0048	498.7267	54.5857
PWY-5861	34.6195	132.8194	1289.5983	1926.979	199.2006	1543.63	2782.0143	1066.797	638.8873	260.2139	411.5284	316.5531	5193.1603	144.6325	326.5576	425.3682	179.6747	228.5902	319.3754	296.9358	171.8162	72.4469	187.2577	323.2293	1188.3919	1603.4809	56.6296	476.1794	1.0472	104.1991	490.3484	426.565	400.1309	416.7037	318.8829	218.0423	90.0142	301.7896	1.5391	195.6359	472.8084	802.2652	725.3928	188.6461	1137.8585	2445.5059	382.8316	660.2673	44.4376	2199.6772	37.7825	237.0046	116.2441	287.5826	504.7874	773.8871	1416.1792	1064.8659	1662.4529	79.1201	4013.0862	1344.4402	204.7487	910.381	554.2285	4678.3342	3745.6518	558.8371	221.9984	163.4477	69.4563	2820.6581	81.9503	435.8547	99.5723	2766.3628	420.5459	234.6297	404.259	102.1142	1565.1628	135.9392	4907.9459	1137.2335	86.9661	361.776	160.329	617.3795	294.9831	168.5653	977.7436	1281.2574	221.6668	1259.0347	956.295	534.9996	1123.5005	292.6118	6293.9977	495.8284	8324.7673	1746.1555	441.7517	279.3129	1343.7555	657.686	386.9305	645.9601	262.6879	1810.4435	350.1866	1844.8093	182.4507	1579.1892	81.8922
PWY-5862	24.8773	87.0712	744.6313	291.7359	84.1019	1043.7913	693.1729	789.6796	448.0383	137.1917	227.8716	178.6051	307.7121	103.9667	166.9677	266.6956	126.9227	112.1567	97.3237	49.6591	124.9304	45.8942	130.7915	193.003	426.3014	95.6259	30.0741	290.9266	0.0	38.2141	341.3601	185.1269	217.0911	152.5744	207.3292	142.277	36.7612	49.7557	1.0401	65.0029	251.882	271.0841	499.3081	60.5642	55.7791	247.9335	224.3839	375.5949	30.8104	671.8999	28.0739	152.0137	86.2388	148.9263	273.6659	50.7608	859.0045	95.1652	1137.0058	47.3676	677.1924	1007.1048	124.8159	408.7511	241.7658	2305.9865	2298.9112	343.4934	165.6359	117.268	33.4431	2278.9483	53.8521	295.8542	66.7949	602.7176	303.5074	170.7662	266.0571	67.9172	180.092	91.9337	929.3231	652.488	61.9528	246.2648	116.0122	416.4471	156.6376	103.9679	691.1278	289.5782	111.3251	807.1754	521.2838	381.0228	636.7819	210.6612	1697.1286	341.683	1346.9415	605.7157	300.1756	202.2293	822.4292	273.6828	233.1565	240.6991	120.437	525.4976	255.8418	118.3282	119.0048	498.7267	54.5857
PWY-5863	17.4285	67.5642	669.004	1073.1779	101.1297	873.6078	1581.7056	547.1147	332.5587	131.7528	209.1369	160.5552	3364.0269	73.1936	165.9155	215.4473	90.7065	114.9019	162.2453	151.447	86.828	36.3326	93.9509	166.8075	620.345	900.8757	28.4141	241.4903	0.5241	52.3295	249.9461	215.5837	210.3228	214.0007	164.9579	109.9188	45.4072	153.7624	0.7842	99.9621	242.5955	427.3186	379.7789	95.8899	745.2478	1314.0814	195.4259	338.55	22.2583	1198.7601	19.0362	120.5648	58.7715	149.3613	257.2149	457.9422	753.3495	549.5383	939.9752	39.7536	2552.8794	707.4088	103.3355	464.2756	292.6701	2483.3877	1928.8668	290.4634	111.9669	82.6474	34.9381	2014.075	41.1935	222.8808	50.1351	1426.0271	214.9626	119.1006	205.9194	51.4775	837.1118	68.5159	2851.1296	573.6795	43.667	181.9215	80.7755	313.3652	148.1976	84.945	496.174	651.8469	111.9099	636.4978	484.0596	268.9221	568.6037	147.7364	3315.0439	250.2931	4746.9439	888.6591	224.9458	140.1777	695.5502	335.6534	195.979	333.1687	134.2385	959.4633	176.4724	1018.113	92.3144	872.3526	41.161
PWY-5896	37.173	129.4541	1096.5279	432.321	125.5632	1468.6218	1018.6755	1168.0542	658.984	204.7752	339.5308	266.492	456.5637	154.9744	249.0652	397.6262	189.5137	167.8767	145.4124	74.2921	186.2164	68.7426	195.8198	285.347	631.7229	142.728	45.0467	433.2588	0.0	57.2474	506.9887	276.6337	317.9878	227.2001	305.6131	212.5055	54.983	74.4505	1.5512	96.8626	373.9461	399.4298	730.9392	90.4681	82.8888	369.5143	333.552	556.9919	46.1738	986.945	41.9239	226.0322	128.5145	220.2391	406.9408	75.517	1251.1052	142.3549	1579.3124	70.8904	985.9048	1469.8585	185.5633	607.9955	355.9457	3378.7779	3396.9453	505.9533	247.1643	174.7689	50.0549	2845.9859	80.5517	437.1517	99.8212	898.3766	449.3543	253.7236	395.3321	101.4439	268.4162	137.3263	1364.6772	972.9157	92.7032	368.2557	173.3109	620.3643	234.4887	155.4161	1028.175	433.0672	166.3341	1204.2354	777.8228	569.8639	950.1905	313.6789	2519.1179	510.1508	1988.9089	904.5134	446.4339	302.7331	1206.9892	407.6164	347.6055	357.7488	179.3382	778.5198	381.9822	176.6695	177.4762	731.2997	81.6597
PWY-5897	45.2975	172.9647	1660.394	2417.1814	259.8257	1947.6773	3495.6783	1385.1545	825.5903	339.7177	536.4742	413.4148	6165.7263	188.9024	426.1168	555.2417	235.007	299.2553	416.043	386.1494	224.3483	94.9638	245.3918	418.28	1529.3732	2008.7921	74.2107	620.5835	1.3743	136.4804	638.4241	556.9952	512.4132	541.1867	411.9557	285.1052	117.6597	392.6829	2.012	253.7489	613.6849	1020.6023	932.8282	245.7929	1342.1351	3091.3855	498.1462	856.4458	58.2816	2773.6089	49.4169	308.5965	151.794	371.7094	656.2167	945.9243	1810.4458	1371.5138	2041.0168	103.6179	4765.6586	1728.8672	266.2163	1181.4604	709.611	5972.9316	4846.7171	721.4214	290.1859	213.3922	90.9243	3222.6776	107.2908	564.4192	130.2697	3568.3296	546.2653	305.5578	526.221	133.5341	1988.5232	177.7853	6045.5368	1482.916	113.9147	473.5725	209.7679	805.8014	386.3304	220.5579	1274.6128	1669.2469	289.608	1644.5489	1248.2289	700.5355	1467.065	381.6405	8082.5418	648.362	10354.0556	2275.6885	575.847	366.0168	1725.9658	854.5724	504.8685	835.8129	341.6567	2323.8705	457.9081	2330.5579	238.2642	1990.2415	107.2347
PWY-5898	45.2975	172.9647	1660.394	2417.1814	259.8257	1947.6773	3495.6783	1385.1545	825.5903	339.7177	536.4742	413.4148	6165.7263	188.9024	426.1168	555.2417	235.007	299.2553	416.043	386.1494	224.3483	94.9638	245.3918	418.28	1529.3732	2008.7921	74.2107	620.5835	1.3743	136.4804	638.4241	556.9952	512.4132	541.1867	411.9557	285.1052	117.6597	392.6829	2.012	253.7489	613.6849	1020.6023	932.8282	245.7929	1342.1351	3091.3855	498.1462	856.4458	58.2816	2773.6089	49.4169	308.5965	151.794	371.7094	656.2167	945.9243	1810.4458	1371.5138	2041.0168	103.6179	4765.6586	1728.8672	266.2163	1181.4604	709.611	5972.9316	4846.7171	721.4214	290.1859	213.3922	90.9243	3222.6776	107.2908	564.4192	130.2697	3568.3296	546.2653	305.5578	526.221	133.5341	1988.5232	177.7853	6045.5368	1482.916	113.9147	473.5725	209.7679	805.8014	386.3304	220.5579	1274.6128	1669.2469	289.608	1644.5489	1248.2289	700.5355	1467.065	381.6405	8082.5418	648.362	10354.0556	2275.6885	575.847	366.0168	1725.9658	854.5724	504.8685	835.8129	341.6567	2323.8705	457.9081	2330.5579	238.2642	1990.2415	107.2347
PWY-5899	45.2975	172.9647	1660.394	2417.1814	259.8257	1947.6773	3495.6783	1385.1545	825.5903	339.7177	536.4742	413.4148	6165.7263	188.9024	426.1168	555.2417	235.007	299.2553	416.043	386.1494	224.3483	94.9638	245.3918	418.28	1529.3732	2008.7921	74.2107	620.5835	1.3743	136.4804	638.4241	556.9952	512.4132	541.1867	411.9557	285.1052	117.6597	392.6829	2.012	253.7489	613.6849	1020.6023	932.8282	245.7929	1342.1351	3091.3855	498.1462	856.4458	58.2816	2773.6089	49.4169	308.5965	151.794	371.7094	656.2167	945.9243	1810.4458	1371.5138	2041.0168	103.6179	4765.6586	1728.8672	266.2163	1181.4604	709.611	5972.9316	4846.7171	721.4214	290.1859	213.3922	90.9243	3222.6776	107.2908	564.4192	130.2697	3568.3296	546.2653	305.5578	526.221	133.5341	1988.5232	177.7853	6045.5368	1482.916	113.9147	473.5725	209.7679	805.8014	386.3304	220.5579	1274.6128	1669.2469	289.608	1644.5489	1248.2289	700.5355	1467.065	381.6405	8082.5418	648.362	10354.0556	2275.6885	575.847	366.0168	1725.9658	854.5724	504.8685	835.8129	341.6567	2323.8705	457.9081	2330.5579	238.2642	1990.2415	107.2347
PWY-5910	98.3443	266.7211	2368.562	1892.694	345.4761	6272.7184	3945.0832	641.3485	290.7899	1572.1156	1089.9566	314.2081	3432.8629	169.9958	1047.2978	421.93	248.2171	705.6777	1004.2693	318.0945	177.2614	253.9694	234.9304	218.1291	1212.3891	337.7205	431.6746	2774.6173	9.9698	163.8936	801.1558	297.4741	2394.4581	3232.8762	127.7954	1827.9355	352.1742	268.6204	1.6642	1488.532	273.953	1080.124	611.625	1561.7061	151.8908	6467.0649	829.5296	1988.9735	141.8191	1639.6389	106.5889	342.9079	473.0744	381.6259	1102.7047	243.823	6590.8942	3230.2721	3506.4324	177.5094	1027.9788	777.9631	6841.5755	4998.5149	360.4479	12331.6318	10965.8255	1899.3122	459.7864	267.9566	46.2734	888.0276	280.1358	2952.3714	240.4183	14834.2352	2546.659	973.1867	724.7897	410.1802	1284.5855	374.4367	9953.7622	24671.0189	571.4143	1008.804	317.5861	535.9821	1409.0524	402.0195	1780.1258	6995.9322	474.0973	1922.1589	2775.7137	1543.6043	8238.1921	5041.9397	18251.8491	1143.9991	5063.2146	7382.6608	542.5398	311.1899	10298.5057	2474.7839	814.8374	1149.4869	231.8024	17711.2847	799.1756	4400.1691	503.7148	238.4198	175.62
PWY-5913	1734.9737	3625.0814	14756.8284	10935.9684	7498.4643	5492.9282	10981.0155	21879.1267	7985.0166	6256.9992	8541.1745	10754.222	12295.3052	4209.7921	9406.4721	13867.8479	11283.1222	15675.7199	5501.6356	5985.2944	4064.2021	8394.0052	23459.4253	3068.7785	9539.2236	6387.1643	6850.7784	8541.321	941.2567	8620.4388	9507.5871	13559.4446	2273.0107	4141.0791	4794.308	13135.8134	4978.6679	7324.2773	163.3578	3730.7531	9700.0453	4979.693	7094.725	4185.9144	3187.9015	14598.2955	8291.5378	10202.6663	12186.1317	9704.5168	2283.0087	5575.5956	3827.6712	5131.4173	10629.2921	2795.3296	5903.8296	14470.5957	5279.0291	5539.9758	9906.2818	16447.8525	4991.5577	14668.8033	3161.2566	42404.2288	56257.4803	4199.8994	12687.6201	6356.3804	4877.0469	8303.8566	7083.1727	6326.4364	5868.2505	23346.5953	10595.1613	5607.1194	11529.126	5096.9583	9888.5208	6380.7081	16391.0945	35838.5346	7634.223	20104.1977	9256.7546	19720.1361	22977.418	10375.931	21626.3833	24036.0491	9225.7623	54763.0132	41895.6784	48154.3317	42684.4923	12223.9703	56710.3143	29914.129	37057.9176	50076.4577	13434.6854	28701.1402	11562.601	13363.2963	17352.101	10995.3179	5518.5826	13727.0043	23800.6532	9053.218	8386.924	8447.5157	5374.5648
PWY-5918	333.6878	665.2539	6126.3817	1896.4442	1258.0519	1974.4645	2381.0166	2748.1814	1116.3635	1299.7303	1269.0895	1189.4638	5860.0708	720.9892	1778.9922	1846.2291	844.1847	3471.8231	1805.6139	922.5629	730.5291	2357.2855	3230.4921	936.6377	2037.5834	1359.1843	1248.9857	2798.1271	898.4913	815.6159	2240.0357	1520.2719	822.9184	1046.8817	650.1222	2481.6816	736.3525	1534.8743	90.9441	1167.9152	1365.5329	1502.0686	1732.1334	947.2372	587.7982	3924.1679	1565.3035	2738.4609	1338.1361	3170.5427	371.8381	1474.9489	1190.5865	820.5814	2814.3764	636.753	2160.9092	4880.0122	1501.9277	844.956	2288.3752	1697.3373	2187.6766	8635.1922	756.9671	11753.6873	17712.1046	1361.6489	1611.5869	772.9317	1318.0422	3885.4101	933.2184	1514.714	824.3182	9824.9443	1446.5583	2084.3944	1475.4412	1179.5327	1381.9264	1048.2867	7408.7001	14689.8286	1437.4785	4035.7825	1628.4076	6082.0872	4965.109	2396.057	3740.9216	7129.6546	1973.5091	7501.8464	8593.0649	8463.455	4103.4323	7004.1761	27500.8308	4381.4866	9686.7196	12722.6469	2545.8809	4456.6564	4915.4009	2777.8666	3406.8328	2383.1613	1611.9461	7262.9572	4959.0721	3674.8081	1042.2526	1915.1836	915.985
